protocol,seed,depth,gradient_norm,direct_loss_drop,shuffled_loss_drop,existing_cosine,oracle_cosine,existing_sign_agreement,oracle_sign_agreement
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,0.983124375,0.000966467,-0.000194475,0.489618272,1.000000000,0.306640625,0.439453125
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,0.984644234,0.000969470,-0.000331730,0.472924411,1.000000000,0.296875000,0.398437500
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,0.984038234,0.000968225,-0.000208698,0.498225689,1.000000000,0.304687500,0.453125000
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,1.590424776,0.002718393,-0.000271037,0.565515339,0.975459814,0.476562500,0.722656250
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,1.559959769,0.002580356,-0.000622507,0.505210400,0.970213592,0.441406250,0.679687500
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,2,1.500624418,0.002402361,-0.000451230,0.561877012,0.908754230,0.505859375,0.701171875
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,3,1.976095200,0.004356060,-0.001107305,0.654712379,0.913731277,0.550781250,0.863281250
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,3,2.191963196,0.005305573,-0.001248032,0.598835349,0.944327533,0.542968750,0.773437500
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,3,2.145834923,0.005051531,-0.001325160,0.598698378,0.961195529,0.570312500,0.839843750
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,4,2.695194721,0.007543206,-0.002223838,0.570813298,0.883918405,0.554687500,0.910156250
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,4,2.694550753,0.007480349,-0.002269827,0.540658891,0.859548688,0.634765625,0.912109375
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,4,2.907134533,0.008577254,-0.001853481,0.504390776,0.814221203,0.568359375,0.841796875
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,5,3.634112835,0.013730235,-0.003683191,0.496683568,0.861887813,0.544921875,0.880859375
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,5,3.501281977,0.012877129,-0.003036153,0.497809261,0.915974259,0.623046875,0.912109375
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,5,3.553972244,0.013288025,-0.002944842,0.523302138,0.867384911,0.597656250,0.929687500
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,6,4.106049538,0.017808255,-0.004939027,0.579800665,0.926817417,0.531250000,0.988281250
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,6,3.990337849,0.016981836,-0.002439953,0.593149364,0.921552002,0.667968750,0.968750000
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,6,3.840221405,0.015791215,-0.001831420,0.624472916,0.947457135,0.548828125,0.955078125
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,7,5.153218269,0.027492855,-0.009628039,0.529953539,0.886150599,0.546875000,0.933593750
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,7,4.080784321,0.017701164,-0.002959132,0.635854125,0.917855620,0.634765625,0.955078125
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,7,4.855494022,0.024299145,-0.007822134,0.538147926,0.879929006,0.652343750,0.937500000
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,8,5.484741211,0.031828776,-0.008354731,0.569063962,0.933973253,0.521484375,0.935546875
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,8,4.899190903,0.026219487,-0.008045405,0.617398798,0.929931343,0.587890625,0.958984375
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,8,6.204812527,0.039018378,-0.012249969,0.483668387,0.937234461,0.621093750,0.988281250
