protocol,seed,depth,budget,learning_rate,arm,accuracy,test_weights_unchanged
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.03500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,60,0.03500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.03500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,60,0.03500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.03500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,60,0.03500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.03500000,least-squares-post-synaptic,0.73124999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,1,240,0.03500000,direct-terminal,0.73124999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.03500000,least-squares-post-synaptic,0.76875001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,1,240,0.03500000,direct-terminal,0.76875001,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.03500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.03500000,least-squares-post-synaptic,0.91874999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,92e429653c98743e,1,240,0.03500000,direct-terminal,0.91874999,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.01500000,existing-post-synaptic,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.01500000,least-squares-post-synaptic,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,d6753df03e0d7c14,2,60,0.01500000,direct-terminal,0.13750000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,existing-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,least-squares-post-synaptic,0.12500000,true
binn-hybrid-diagnostic-v1-4cb61b5dabf3fec8,742cb73bbfd3f82b,2,60,0.01500000,direct-terminal,0.12500000,true
