protocol,seed,depth,gradient_norm,direct_loss_drop,shuffled_loss_drop,existing_cosine,oracle_cosine,existing_sign_agreement,oracle_sign_agreement
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,0.982669771,0.000965571,-0.000235634,0.481294632,1.000000000,0.297851562,0.439453125
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,0.983321011,0.000966838,-0.000312790,0.483590454,1.000000000,0.297363281,0.463378906
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,0.984155357,0.000968488,-0.000274453,0.482599646,1.000000000,0.300292969,0.422363281
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,1,0.982913554,0.000966040,-0.000285245,0.486657441,1.000000000,0.298828125,0.494140625
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,1,0.984213054,0.000968600,-0.000268525,0.476626962,1.000000000,0.297851562,0.425781250
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,1,0.984233797,0.000968633,-0.000298876,0.479853421,1.000000000,0.295410156,0.456542969
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,1,0.984120846,0.000968430,-0.000294158,0.485759676,1.000000000,0.300781250,0.446289062
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,1,0.983216643,0.000966651,-0.000254882,0.487071961,1.000000000,0.295898438,0.480468750
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,2,1.565746069,0.002632759,-0.000475904,0.554601610,0.948655903,0.465332031,0.717285156
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,2,1.540628791,0.002556690,-0.000577409,0.557165444,0.949430525,0.476562500,0.711914062
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,2,1.561220884,0.002604520,-0.000500431,0.538308799,0.939625680,0.447265625,0.691406250
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,2,1.571147799,0.002612786,-0.000539616,0.530051649,0.942023277,0.457031250,0.708007812
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,2,1.572886467,0.002632321,-0.000481631,0.530909419,0.936764836,0.449218750,0.707031250
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,2,1.625710011,0.002806360,-0.000555207,0.535213351,0.956870735,0.460449219,0.715332031
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,2,1.585844755,0.002682970,-0.000564482,0.549146116,0.945038199,0.445800781,0.753417969
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,2,1.619031429,0.002757873,-0.000603313,0.514140964,0.959611416,0.473632812,0.699218750
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,3,2.070252180,0.004689318,-0.001303484,0.595458806,0.921595633,0.527832031,0.841308594
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,3,2.022436857,0.004494568,-0.001327133,0.614342570,0.922842741,0.549316406,0.855957031
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,3,1.969731450,0.004267870,-0.001234692,0.632330120,0.930400133,0.595703125,0.857421875
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,3,2.055593491,0.004633530,-0.001252398,0.618825316,0.933504462,0.537109375,0.827148438
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,3,1.961429358,0.004238076,-0.000977921,0.631769180,0.923926711,0.572265625,0.839843750
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,3,1.905336857,0.003994484,-0.001110948,0.636759341,0.897230685,0.542968750,0.861328125
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,3,2.076551914,0.004654985,-0.001269596,0.588318348,0.919612706,0.531250000,0.830078125
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,3,2.079347372,0.004735575,-0.001239215,0.592834890,0.935090303,0.581054688,0.849609375
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,4,2.788397312,0.007950753,-0.002197731,0.534368813,0.869772136,0.595214844,0.897949219
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,4,2.708786011,0.007539732,-0.002286688,0.549575329,0.883376300,0.626953125,0.911132812
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,4,2.775609732,0.007919384,-0.001907390,0.553262651,0.869399309,0.590332031,0.878417969
