protocol,seed,depth,budget,learning_rate,arm,accuracy,test_weights_unchanged
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,5f5724d63d336c68,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,fd0e9e11baf9e87f,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,1bc6105b3a4e6492,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,1,120,0.00500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,1,120,0.00500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,b9f98982bb14e0a9,1,120,0.00500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,d6753df03e0d7c14,1,120,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,742cb73bbfd3f82b,1,120,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.01500000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.01500000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,92e429653c98743e,1,120,0.01500000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v2-50c8899f9bc536f0,309fa2acbc6ef055,1,120,0.01500000,existing-post-synaptic,0.00000000,true
