protocol,seed,depth,gradient_norm,direct_loss_drop,shuffled_loss_drop,existing_cosine,oracle_cosine,existing_sign_agreement,oracle_sign_agreement
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,1,0.983011782,0.000966237,-0.000260623,0.485464960,1.000000000,0.300292969,0.442871094
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,1,0.983604491,0.000967388,-0.000302587,0.482022554,1.000000000,0.296630859,0.454833984
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,1,0.983467937,0.000967130,-0.000275376,0.486977130,1.000000000,0.297607422,0.465087891
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,1,0.983856559,0.000967875,-0.000270653,0.482701302,1.000000000,0.297363281,0.466796875
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,1,0.983797669,0.000967785,-0.000273303,0.480902284,1.000000000,0.297607422,0.451416016
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,1,0.984172583,0.000968508,-0.000271816,0.484120399,1.000000000,0.295166016,0.468505859
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,1,0.984371006,0.000968916,-0.000300074,0.482121825,1.000000000,0.296142578,0.454833984
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,1,0.984022498,0.000968236,-0.000260001,0.483988404,1.000000000,0.297607422,0.454833984
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,1,0.983457088,0.000967113,-0.000281190,0.481780142,1.000000000,0.298095703,0.430908203
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,1,0.983667791,0.000967517,-0.000250787,0.484098196,1.000000000,0.299804688,0.436035156
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,1,0.983111501,0.000966426,-0.000268684,0.485876948,1.000000000,0.298828125,0.459960938
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,1,0.984369040,0.000968900,-0.000286138,0.483770609,1.000000000,0.297607422,0.454833984
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,1,0.983407974,0.000967020,-0.000263853,0.485629529,1.000000000,0.300781250,0.446289062
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,1,0.983352482,0.000966905,-0.000289029,0.484043300,1.000000000,0.294433594,0.463378906
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,1,0.984320879,0.000968811,-0.000231667,0.480397135,1.000000000,0.298828125,0.425781250
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,1,0.983987987,0.000968155,-0.000302975,0.480181426,1.000000000,0.294677734,0.458251953
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c9ed511832b53d64,1,0.983665466,0.000967517,-0.000309694,0.485347003,1.000000000,0.301025391,0.437744141
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,57a4cb43b27bb97b,1,0.983980954,0.000968140,-0.000282356,0.479558319,1.000000000,0.296630859,0.434326172
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,f65c4c8d33c0358e,1,0.984243572,0.000968659,-0.000242822,0.481471837,1.000000000,0.297607422,0.447998047
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1417c634b096b1a5,1,0.984065175,0.000968298,-0.000270621,0.480868340,1.000000000,0.296142578,0.441162109
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,2,1.604462862,0.002751387,-0.000566801,0.544684589,0.959064066,0.454833984,0.716552734
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,2,1.631778598,0.002824277,-0.000591416,0.538593888,0.956429660,0.472412109,0.705322266
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,2,1.591249108,0.002683239,-0.000520069,0.530036390,0.936707258,0.460693359,0.691650391
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,2,1.602257609,0.002708653,-0.000548593,0.527911186,0.942527890,0.457275391,0.709716797
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,2,1.593458414,0.002695278,-0.000474143,0.530330777,0.940080643,0.458984375,0.701660156
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,2,1.644225836,0.002855925,-0.000564725,0.525778234,0.953389108,0.446777344,0.716796875
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,2,1.592646360,0.002677208,-0.000549583,0.523481011,0.934852242,0.447753906,0.734375000
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,2,1.594629288,0.002690496,-0.000594240,0.522988617,0.959234834,0.453369141,0.709716797
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,2,1.585061073,0.002663063,-0.000430409,0.536036968,0.946970224,0.474609375,0.710449219
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,2,1.547877669,0.002584034,-0.000499911,0.563214302,0.949307024,0.468505859,0.723388672
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,2,1.589391470,0.002685003,-0.000496835,0.538884044,0.953651726,0.447021484,0.726318359
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,2,1.586782575,0.002685531,-0.000593564,0.547433555,0.949903131,0.452148438,0.728027344
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,2,1.574637055,0.002647627,-0.000572437,0.540222406,0.936582446,0.438964844,0.724609375
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,2,1.580092669,0.002623852,-0.000482922,0.514359772,0.916523874,0.452148438,0.690917969
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,2,1.593731761,0.002695217,-0.000462709,0.538399220,0.948637903,0.458251953,0.717041016
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,2,1.596186876,0.002707953,-0.000482447,0.532279789,0.946702540,0.465332031,0.699707031
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c9ed511832b53d64,2,1.627256870,0.002797686,-0.000660560,0.527085423,0.954711020,0.457031250,0.717773438
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,57a4cb43b27bb97b,2,1.656876802,0.002894129,-0.000573888,0.528626800,0.955101550,0.443603516,0.717529297
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,f65c4c8d33c0358e,2,1.662716031,0.002897333,-0.000592136,0.519928813,0.952923715,0.445068359,0.722900391
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1417c634b096b1a5,2,1.622304082,0.002774320,-0.000630211,0.525923133,0.947800815,0.466796875,0.707031250
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,3,2.023538828,0.004492152,-0.001203824,0.611106455,0.921100676,0.558349609,0.849853516
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,3,2.015006304,0.004437140,-0.001278188,0.616610765,0.919317842,0.553466797,0.848876953
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,3,2.022306919,0.004459720,-0.001190408,0.610565662,0.923839629,0.552734375,0.851562500
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,3,2.001749992,0.004392400,-0.001167647,0.623913705,0.932086349,0.548828125,0.841796875
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,3,1.990276098,0.004330527,-0.001110704,0.620959044,0.916474879,0.567382812,0.840332031
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,3,2.007278204,0.004421376,-0.001139570,0.612407625,0.908374727,0.536132812,0.852050781
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,3,2.157593489,0.005038025,-0.001353708,0.584519446,0.931320548,0.521728516,0.814697266
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,3,2.032901287,0.004511816,-0.001162916,0.603635609,0.921154678,0.574951172,0.852294922
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,3,2.116676569,0.004848747,-0.001487067,0.587140322,0.911447406,0.561279297,0.839111328
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,3,2.022700310,0.004476663,-0.001222909,0.616552830,0.916296780,0.570800781,0.829101562
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,3,2.067141056,0.004694711,-0.001405857,0.615193605,0.918294966,0.551513672,0.841064453
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,3,2.165934801,0.005077218,-0.001514868,0.582820117,0.931103230,0.543701172,0.832763672
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,3,2.085471630,0.004731647,-0.001485470,0.599332035,0.920153320,0.552001953,0.860595703
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,3,2.067769289,0.004636253,-0.001250325,0.597198844,0.907937765,0.532958984,0.852783203
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,3,2.077277660,0.004692567,-0.001215786,0.594484448,0.925308526,0.501220703,0.849365234
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,3,2.110306740,0.004844069,-0.001312647,0.594067574,0.923019469,0.580078125,0.845214844
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c9ed511832b53d64,3,2.058824539,0.004683745,-0.001275063,0.620177507,0.928557217,0.555419922,0.839599609
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,57a4cb43b27bb97b,3,2.092375755,0.004821253,-0.001178495,0.607812345,0.914293647,0.535400391,0.837158203
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,f65c4c8d33c0358e,3,2.026082039,0.004495797,-0.001169628,0.615018189,0.910818458,0.554931641,0.839599609
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1417c634b096b1a5,3,2.082237482,0.004745444,-0.001285145,0.607069314,0.933757663,0.541259766,0.827392578
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,4,2.783707857,0.007925360,-0.002150388,0.537048042,0.866285741,0.583984375,0.896484375
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,4,2.742418289,0.007742998,-0.001948181,0.559912145,0.880745828,0.607910156,0.906738281
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,4,2.697723150,0.007493261,-0.002023736,0.572232962,0.870972276,0.580810547,0.887939453
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,4,2.772884369,0.007820338,-0.001853940,0.530798137,0.913330674,0.551513672,0.919677734
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,4,2.820450068,0.008142231,-0.002214404,0.538967431,0.874944031,0.593994141,0.897216797
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,4,2.702165365,0.007525513,-0.001659967,0.576821864,0.888689637,0.581054688,0.907226562
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,4,2.780582905,0.007883713,-0.002141329,0.545797050,0.880628049,0.587890625,0.907714844
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,4,2.663569212,0.007299433,-0.001740958,0.590197086,0.898530245,0.596435547,0.899169922
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,4,2.737114191,0.007665186,-0.002188841,0.554836094,0.883119285,0.593261719,0.899902344
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,4,2.700262547,0.007502707,-0.001761683,0.572178543,0.907759011,0.596923828,0.904052734
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,4,2.762503147,0.007809641,-0.001967947,0.537677169,0.886177599,0.603027344,0.903808594
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,4,2.709453583,0.007521654,-0.002134290,0.583179593,0.885583818,0.601318359,0.874755859
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,4,2.731251001,0.007623017,-0.001949341,0.558133066,0.900764525,0.571777344,0.895507812
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,4,2.643163919,0.007170812,-0.001987048,0.590068519,0.903708994,0.525390625,0.884765625
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,4,2.755900383,0.007758723,-0.002353713,0.531824052,0.865563035,0.577148438,0.884765625
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,4,2.696604252,0.007478036,-0.001904612,0.575462341,0.873850405,0.572265625,0.897460938
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c9ed511832b53d64,4,2.693642378,0.007427157,-0.001900080,0.564580858,0.909742832,0.602539062,0.910156250
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,57a4cb43b27bb97b,4,2.731023073,0.007654349,-0.002093520,0.562673688,0.914998829,0.593994141,0.907958984
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,f65c4c8d33c0358e,4,2.734555006,0.007674147,-0.002255230,0.557413757,0.901344538,0.607177734,0.921630859
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1417c634b096b1a5,4,2.737312794,0.007677707,-0.002067275,0.566724181,0.879720688,0.575195312,0.905761719
