protocol,seed,depth,budget,learning_rate,arm,accuracy,test_weights_unchanged
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,d6753df03e0d7c14,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,742cb73bbfd3f82b,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,92e429653c98743e,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,309fa2acbc6ef055,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,5f5724d63d336c68,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,fd0e9e11baf9e87f,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,1bc6105b3a4e6492,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,b9f98982bb14e0a9,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c7b103cc38d95cbc,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,66688577b9afd8d3,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,84207eb1397454e6,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,22dbf0f8b63ad0fd,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,40936a22378f4d10,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ef4aec6db755c927,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,0d026597341a453a,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,1,120,0.00200000,existing-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,1,120,0.00200000,least-squares-post-synaptic,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,ab35dfdeb5e0c151,1,120,0.00200000,direct-terminal,0.00000000,true
binn-hybrid-diagnostic-v3-fe72201b01e57cfe,c9ed511832b53d64,1,120,0.00200000,existing-post-synaptic,0.00000000,true
