protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v1-70406e787d80209d,d67529eb300e7c14,1,0.866700053,0.000751078,-0.000250302,0.000751078,-0.000250302,0.362131387,0.362131387,0.000000020,0.000000020,0.625000000,0.625000000,0.031250000,0.167411894
binn-hybrid-production-diagnostic-v1-70406e787d80209d,742ca320b1d0f82b,1,0.865980804,0.000749826,-0.000249915,0.000749826,-0.000249915,0.433939964,0.433939934,0.000000018,0.000000018,0.625000000,0.625000000,0.031250000,0.250536293
binn-hybrid-production-diagnostic-v1-70406e787d80209d,92e43d7e329b743e,1,0.866120160,0.000750087,-0.000250466,0.000750087,-0.000250466,0.433979958,0.433979958,0.000000018,0.000000018,0.625000000,0.625000000,0.031250000,0.250559628
binn-hybrid-production-diagnostic-v1-70406e787d80209d,d67529eb300e7c14,2,0.432977945,0.000187457,-0.000057533,0.000188366,-0.000056744,0.308637112,0.308642775,0.000000005,0.000000003,0.703125000,0.703125000,0.031250000,0.116022959
binn-hybrid-production-diagnostic-v1-70406e787d80209d,742ca320b1d0f82b,2,0.433070898,0.000187539,-0.000054665,0.000188909,-0.000057563,0.181886688,0.181897029,0.000000004,0.000000003,0.675781250,0.675781250,0.031250000,0.042380970
binn-hybrid-production-diagnostic-v1-70406e787d80209d,92e43d7e329b743e,2,0.432999730,0.000187486,-0.000058711,0.000188597,-0.000055157,0.254395008,0.254405111,0.000000004,0.000000003,0.699218750,0.699218750,0.031250000,0.084492765
binn-hybrid-production-diagnostic-v1-70406e787d80209d,d67529eb300e7c14,3,0.432946950,0.000187442,-0.000056654,0.000187859,-0.000062563,0.217019945,0.217019960,0.000000003,0.000000002,0.708333254,0.708333254,0.031250000,0.062786646
binn-hybrid-production-diagnostic-v1-70406e787d80209d,742ca320b1d0f82b,3,0.433101803,0.000187591,-0.000058651,0.000188015,-0.000051022,0.181080848,0.181080863,0.000000002,0.000000002,0.697916627,0.697916627,0.031250000,0.042049613
binn-hybrid-production-diagnostic-v1-70406e787d80209d,92e43d7e329b743e,3,0.433011800,0.000187516,-0.000055693,0.000187755,-0.000057645,0.198904529,0.198904514,0.000000003,0.000000002,0.726562500,0.726562500,0.031250000,0.052312948
binn-hybrid-production-diagnostic-v1-70406e787d80209d,d67529eb300e7c14,4,0.433188409,0.000187688,-0.000059597,0.000187822,-0.000060648,0.216797888,0.216797918,0.000000002,0.000000001,0.720703125,0.720703125,0.031250000,0.062630974
