protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,1,0.866572380,0.000750817,-0.000250727,0.000750817,-0.000250727,0.361879438,0.361879438,0.000000020,0.000000020,0.343750000,0.742187500,0.031250000,0.167265266
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,1,0.866850674,0.000751369,-0.000250734,0.000751369,-0.000250734,0.326260924,0.326260954,0.000000021,0.000000021,0.343750000,0.730468750,0.031250000,0.125869855
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,1,0.865898728,0.000749670,-0.000249498,0.000749670,-0.000249498,0.398133904,0.398133874,0.000000019,0.000000019,0.343750000,0.753906250,0.031250000,0.209030822
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,2,0.433348030,0.000187747,-0.000060685,0.000188708,-0.000059955,0.143517137,0.277412623,0.000000016,0.000000005,0.630859375,0.580078125,0.089843750,0.158622757
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,2,0.432834595,0.000187337,-0.000058353,0.000188746,-0.000059865,0.135954231,0.304309249,0.000000018,0.000000005,0.615234375,0.587890625,0.107421875,0.179431215
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,2,0.433228880,0.000187695,-0.000061177,0.000388891,-0.000063717,0.040575400,0.212808281,0.000000018,0.000000006,0.625000000,0.566406250,0.109375000,0.133823127
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,3,0.433241785,0.000187680,-0.000053495,0.000188142,-0.000053912,0.123947836,0.175356179,0.000000019,0.000000006,0.671875000,0.597656250,0.164062500,0.172435403
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,3,0.432885915,0.000187375,-0.000056155,0.000187747,-0.000057645,0.133535922,0.284989029,0.000000027,0.000000005,0.613281250,0.550781250,0.189453125,0.294036061
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,3,0.432874858,0.000187390,-0.000048578,0.000187635,0.000229597,0.114891298,0.213925198,0.000000023,0.000000005,0.662109375,0.552734375,0.138671875,0.214109570
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,4,0.433029950,0.000187509,-0.000055924,0.000187583,-0.000055641,0.114424348,0.296403080,0.000000028,0.000000005,0.675781250,0.496093750,0.257812500,0.312767744
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,4,0.432945043,0.000187434,-0.000043184,0.000187777,-0.000041075,0.113272704,0.230298311,0.000000025,0.000000005,0.712890625,0.599609375,0.259765625,0.245006114
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,4,0.433267862,0.000187717,-0.000044480,0.000187963,-0.000226535,0.031943947,0.293903530,0.000000039,0.000000005,0.722656250,0.484375000,0.248046875,0.294730395
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,5,0.432999939,0.000187457,-0.000050783,0.000187851,0.000084825,0.089421354,0.207398430,0.000000034,0.000000006,0.695312500,0.589843750,0.328125000,0.324866891
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,5,0.433153093,0.000187606,-0.000045046,0.000188015,-0.000255659,0.084047921,0.207872793,0.000000032,0.000000005,0.654296875,0.556640625,0.251953125,0.301405907
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,5,0.432967156,0.000187434,-0.000067487,0.000187755,-0.000356056,0.147587121,0.226686701,0.000000023,0.000000005,0.660156250,0.566406250,0.220703125,0.172151491
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,6,0.433141470,0.000187635,-0.000050791,0.000188015,-0.000050895,0.136965275,0.370927960,0.000000048,0.000000005,0.693359375,0.556640625,0.332031250,0.460823387
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,6,0.433004707,0.000187501,-0.000049800,0.000187859,-0.000049822,0.033356704,0.253414184,0.000000038,0.000000005,0.626953125,0.517578125,0.398437500,0.453759938
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,6,0.432974190,0.000187494,-0.000047855,0.000187755,-0.000047892,0.161613047,0.265832841,0.000000034,0.000000005,0.779296875,0.541015625,0.283203125,0.305125326
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,7,0.432887048,0.000187375,-0.000046864,0.000287242,-0.000046842,0.126314983,0.234476909,0.000000047,0.000000005,0.664062500,0.527343750,0.376953125,0.478548050
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,7,0.432799727,0.000187322,-0.000040889,0.000187457,-0.000907898,0.117991440,0.276752919,0.000000056,0.000000005,0.636718750,0.527343750,0.474609375,0.422722816
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,7,0.433181852,0.000187665,-0.000041053,0.000188023,-0.000041075,0.126444533,0.285349816,0.000000050,0.000000005,0.689453125,0.599609375,0.320312500,0.364735901
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,d67529eb300e7c14,8,0.433046788,0.000187524,-0.000057615,0.000187807,-0.000057720,0.075177848,0.245911837,0.000000058,0.000000005,0.669921875,0.533203125,0.394531250,0.381820768
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,742ca320b1d0f82b,8,0.432719052,0.000187241,-0.000052609,0.000187673,-0.000077978,0.120576754,0.249295771,0.000000058,0.000000005,0.636718750,0.585937500,0.521484375,0.604671776
binn-hybrid-production-diagnostic-v2-8cd6fea27aa912c2,92e43d7e329b743e,8,0.432722092,0.000187248,-0.000043906,0.000187412,-0.000043884,0.324543953,0.421078384,0.000000059,0.000000005,0.667968750,0.457031250,0.419921875,0.560335696
