protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,1,0.984459698,0.000969090,-0.000423737,0.000969090,-0.000423737,0.483460724,0.483460754,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233735576
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,1,0.984238327,0.000968635,-0.000423454,0.000968635,-0.000423454,0.482712656,0.482712656,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233012304
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,92e43d7e329b743e,1,0.983921587,0.000967972,-0.000422463,0.000967972,-0.000422463,0.483455181,0.483455211,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233730286
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,2,1.453456998,0.002308935,-0.000251785,0.001152728,-0.000132088,0.541377187,0.541377127,0.000000067,0.000000053,0.414062500,0.644531250,0.046875000,0.426765561
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,2,1.423805594,0.002189636,-0.000187214,0.001097202,-0.000080306,0.579047740,0.579047799,0.000000060,0.000000047,0.447265625,0.646484375,0.044921875,0.459779888
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,92e43d7e329b743e,2,1.264551163,0.001755975,-0.000212971,0.000878818,-0.000102978,0.585492015,0.585491955,0.000000056,0.000000038,0.464843750,0.636718750,0.050781250,0.522981942
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,3,2.485261679,0.006294779,-0.002172589,0.002240278,-0.000697188,0.436867177,0.436867207,0.000000201,0.000000156,0.572265625,0.564453125,0.050781250,0.232806191
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,3,2.341041565,0.005564250,-0.001863666,0.001936689,-0.000714421,0.389461696,0.389461637,0.000000211,0.000000144,0.574218750,0.558593750,0.056640625,0.233847365
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,92e43d7e329b743e,3,2.440211535,0.006071858,-0.002027139,0.002000719,-0.000605404,0.431224138,0.431224138,0.000000197,0.000000152,0.486328125,0.556640625,0.052734375,0.234617889
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,4,2.549411535,0.006707203,-0.000997040,0.001704443,-0.000244435,0.568704903,0.568704903,0.000000295,0.000000148,0.576171875,0.521484375,0.058593750,0.427951097
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,4,2.655195475,0.007266913,-0.001012668,0.001738247,-0.000268567,0.540615737,0.540615678,0.000000316,0.000000166,0.521484375,0.525390625,0.058593750,0.394694865
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,92e43d7e329b743e,4,2.443799734,0.006239317,-0.000775926,0.001420915,-0.000254743,0.550441802,0.550441802,0.000000323,0.000000144,0.644531250,0.488281250,0.062500000,0.459455907
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,5,3.717535734,0.013817765,-0.005406111,0.003036179,-0.001232557,0.399461925,0.399461895,0.000000744,0.000000362,0.494140625,0.517578125,0.062500000,0.235033303
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,5,3.886584282,0.015248664,-0.005336404,0.003153428,-0.001077242,0.414432406,0.414432406,0.000000686,0.000000390,0.542968750,0.527343750,0.058593750,0.238380849
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,92e43d7e329b743e,5,3.783471823,0.014380135,-0.006512657,0.002678663,-0.001083434,0.416408479,0.416408449,0.000000707,0.000000370,0.490234375,0.513671875,0.060546875,0.236010790
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,d67529eb300e7c14,6,3.316255093,0.011690840,-0.001999047,0.002011158,-0.000364967,0.665332675,0.665332675,0.000000862,0.000000226,0.583984375,0.498046875,0.060546875,0.587873578
binn-hybrid-production-diagnostic-v3-2998fa4d999aa39d,742ca320b1d0f82b,6,3.708412647,0.014402244,-0.002177142,0.002437450,-0.000358898,0.557799578,0.557799578,0.000000978,0.000000331,0.585937500,0.496093750,0.062500000,0.424810290
