protocol,seed,depth,gradient_norm,surrogate_direct_loss_drop,surrogate_rotated_loss_drop,event_direct_loss_drop,event_rotated_loss_drop,existing_cosine,oracle_cosine,existing_mse,oracle_mse,existing_sign_agreement,oracle_sign_agreement,eligibility_nonzero_fraction,target_energy_on_eligible_edges
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,d67529eb300e7c14,1,0.983889163,0.000967932,-0.000423007,0.000967932,-0.000423007,0.483119190,0.483119130,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233405873
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,742ca320b1d0f82b,1,0.984065711,0.000968286,-0.000423300,0.000968286,-0.000423300,0.483186036,0.483186007,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233470470
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,92e43d7e329b743e,1,0.983865678,0.000967892,-0.000422844,0.000967892,-0.000422844,0.483021915,0.483021945,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233311325
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,309fb6b7b26df055,1,0.983711720,0.000967590,-0.000422809,0.000967590,-0.000422809,0.483236283,0.483236283,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233518884
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,5f5730cd33306c68,1,0.983864367,0.000967889,-0.000423022,0.000967889,-0.000423022,0.483153582,0.483153582,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233439118
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,fd0e8a0ab4fae87f,1,0.984024167,0.000968197,-0.000423142,0.000968197,-0.000423142,0.483267069,0.483267069,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233548835
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,1bc60440344d6492,1,0.983835578,0.000967815,-0.000422727,0.000967815,-0.000422727,0.483010590,0.483010590,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233300343
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,b9f99d99b517e0a9,1,0.983747244,0.000967658,-0.000422754,0.000967658,-0.000422754,0.483041912,0.483041912,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233330965
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,c7b117d736da5cbc,1,0.983825743,0.000967805,-0.000422995,0.000967805,-0.000422995,0.483071625,0.483071625,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233359620
binn-hybrid-production-diagnostic-v3-f72033fbf6906b99,6668916cb7acd8d3,1,0.983737767,0.000967635,-0.000422863,0.000967635,-0.000422863,0.483132929,0.483132899,0.000000023,0.000000023,0.343750000,0.718750000,0.031250000,0.233418763
