variant,n_states,connectivity,seed,depth,budget,learning_rate,temperature,arm,accuracy,measured_nnz,test_weights_unchanged
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,soft,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,2.0000,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,soft,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,2.0000,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,soft,direct-terminal,0.625000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,2.0000,direct-terminal,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,hard,direct-terminal,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,soft,direct-terminal,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,2.0000,direct-terminal,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,2,48,0.035000,hard,direct-terminal,0.562500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,soft,direct-terminal,0.015625,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,2.0000,direct-terminal,0.312500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,3,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,soft,direct-terminal,0.078125,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,2.0000,direct-terminal,0.203125,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,3,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,soft,direct-terminal,0.531250,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,2.0000,direct-terminal,0.250000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,4,48,0.035000,hard,direct-terminal,0.578125,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,soft,direct-terminal,0.515625,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,2.0000,direct-terminal,0.265625,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,4,48,0.035000,hard,direct-terminal,0.421875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,5,48,0.035000,soft,direct-terminal,0.343750,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,5,48,0.035000,2.0000,direct-terminal,0.234375,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,5,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,5,48,0.035000,soft,direct-terminal,0.359375,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,5,48,0.035000,2.0000,direct-terminal,0.234375,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,5,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,6,48,0.035000,soft,direct-terminal,0.359375,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,6,48,0.035000,2.0000,direct-terminal,0.312500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,6,48,0.035000,hard,direct-terminal,0.390625,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,6,48,0.035000,soft,direct-terminal,0.578125,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,6,48,0.035000,2.0000,direct-terminal,0.265625,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,6,48,0.035000,hard,direct-terminal,0.593750,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,7,48,0.035000,soft,direct-terminal,0.312500,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,7,48,0.035000,2.0000,direct-terminal,0.203125,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,7,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,7,48,0.035000,soft,direct-terminal,0.343750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,7,48,0.035000,2.0000,direct-terminal,0.234375,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,7,48,0.035000,hard,direct-terminal,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,8,48,0.035000,soft,direct-terminal,0.515625,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,8,48,0.035000,2.0000,direct-terminal,0.250000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,8,48,0.035000,hard,direct-terminal,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,8,48,0.035000,soft,direct-terminal,0.375000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,8,48,0.035000,2.0000,direct-terminal,0.218750,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,8,48,0.035000,hard,direct-terminal,0.468750,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,soft,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,2.0000,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,hard,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,2.0000,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,1,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,soft,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,2.0000,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,hard,privileged-intermediate-target,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,soft,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,2.0000,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,8371261729603450923,1,48,0.035000,hard,shuffled-label,0.000000,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,soft,privileged-intermediate-target,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,2.0000,privileged-intermediate-target,0.453125,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,hard,privileged-intermediate-target,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,soft,shuffled-label,0.546875,32,true
baseline-dense-d1-8-s4,4,dense,15453320347936062484,2,48,0.035000,2.0000,shuffled-label,0.281250,32,true
