seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
15453308257587330068,1,soft,0.984371,0.000969,-0.000390,0.000969,-0.000390
15453308257587330068,1,1.0000,0.984371,0.000969,-0.000390,0.000182,-0.000082
15453308257587330068,1,hard,0.984371,0.000969,-0.000390,0.000000,0.000000
8371249665055979563,1,soft,0.985348,0.000971,-0.000296,0.000971,-0.000296
8371249665055979563,1,1.0000,0.985348,0.000971,-0.000296,0.000182,-0.000063
8371249665055979563,1,hard,0.985348,0.000971,-0.000296,0.000000,0.000000
10584648148176565310,1,soft,0.986854,0.000974,-0.000274,0.000974,-0.000274
10584648148176565310,1,1.0000,0.986854,0.000974,-0.000274,0.000182,-0.000058
10584648148176565310,1,hard,0.986854,0.000974,-0.000274,0.000000,0.000000
15453308257587330068,2,soft,1.654042,0.002895,-0.000435,0.002895,-0.000435
15453308257587330068,2,1.0000,1.654042,0.002895,-0.000435,0.000215,-0.000041
15453308257587330068,2,hard,1.654042,0.002895,-0.000435,0.000000,0.000000
8371249665055979563,2,soft,1.792281,0.003317,-0.000654,0.003317,-0.000654
8371249665055979563,2,1.0000,1.792281,0.003317,-0.000654,0.000242,-0.000053
8371249665055979563,2,hard,1.792281,0.003317,-0.000654,0.000000,0.000000
10584648148176565310,2,soft,1.686123,0.002963,-0.000710,0.002963,-0.000710
10584648148176565310,2,1.0000,1.686123,0.002963,-0.000710,0.000216,-0.000055
10584648148176565310,2,hard,1.686123,0.002963,-0.000710,0.000000,0.000000
15453308257587330068,3,soft,2.089823,0.004894,-0.001209,0.004894,-0.001209
15453308257587330068,3,1.0000,2.089823,0.004894,-0.001209,0.000189,-0.000059
15453308257587330068,3,hard,2.089823,0.004894,-0.001209,0.000000,0.000000
8371249665055979563,3,soft,1.802993,0.003557,-0.000666,0.003557,-0.000666
8371249665055979563,3,1.0000,1.802993,0.003557,-0.000666,0.000155,-0.000038
8371249665055979563,3,hard,1.802993,0.003557,-0.000666,0.000000,0.000000
10584648148176565310,3,soft,1.947661,0.004306,-0.001001,0.004306,-0.001001
10584648148176565310,3,1.0000,1.947661,0.004306,-0.001001,0.000176,-0.000048
10584648148176565310,3,hard,1.947661,0.004306,-0.001001,0.000000,0.000000
15453308257587330068,4,soft,2.602341,0.006953,-0.000959,0.006953,-0.000959
15453308257587330068,4,1.0000,2.602341,0.006953,-0.000959,0.000189,-0.000049
15453308257587330068,4,hard,2.602341,0.006953,-0.000959,0.000000,0.000000
8371249665055979563,4,soft,2.691567,0.007462,-0.001649,0.007462,-0.001649
8371249665055979563,4,1.0000,2.691567,0.007462,-0.001649,0.000170,-0.000045
8371249665055979563,4,hard,2.691567,0.007462,-0.001649,0.000000,0.000000
10584648148176565310,4,soft,2.833091,0.008236,-0.002593,0.008236,-0.002593
10584648148176565310,4,1.0000,2.833091,0.008236,-0.002593,0.000180,-0.000053
10584648148176565310,4,hard,2.833091,0.008236,-0.002593,0.000000,0.000000
15453308257587330068,5,soft,3.901966,0.015766,-0.002033,0.015766,-0.002033
15453308257587330068,5,1.0000,3.901966,0.015766,-0.002033,0.000214,-0.000059
15453308257587330068,5,hard,3.901966,0.015766,-0.002033,0.000000,0.000000
8371249665055979563,5,soft,3.673364,0.013977,-0.003369,0.013977,-0.003369
8371249665055979563,5,1.0000,3.673364,0.013977,-0.003369,0.000183,-0.000052
8371249665055979563,5,hard,3.673364,0.013977,-0.003369,0.000000,0.000000
10584648148176565310,5,soft,3.706493,0.014170,-0.003925,0.014170,-0.003925
10584648148176565310,5,1.0000,3.706493,0.014170,-0.003925,0.000243,-0.000070
10584648148176565310,5,hard,3.706493,0.014170,-0.003925,0.000000,0.000000
15453308257587330068,6,soft,3.753036,0.014729,-0.004563,0.014729,-0.004563
15453308257587330068,6,1.0000,3.753036,0.014729,-0.004563,0.000194,-0.000062
15453308257587330068,6,hard,3.753036,0.014729,-0.004563,0.000000,0.000000
8371249665055979563,6,soft,3.725465,0.014568,-0.005356,0.014568,-0.005356
8371249665055979563,6,1.0000,3.725465,0.014568,-0.005356,0.000196,-0.000073
8371249665055979563,6,hard,3.725465,0.014568,-0.005356,0.000000,0.000000
10584648148176565310,6,soft,3.812462,0.015473,-0.003016,0.015473,-0.003016
10584648148176565310,6,1.0000,3.812462,0.015473,-0.003016,0.000224,-0.000067
10584648148176565310,6,hard,3.812462,0.015473,-0.003016,0.000000,0.000000
15453308257587330068,7,soft,4.085189,0.018053,-0.005166,0.018053,-0.005166
15453308257587330068,7,1.0000,4.085189,0.018053,-0.005166,0.000221,-0.000070
15453308257587330068,7,hard,4.085189,0.018053,-0.005166,0.000000,0.000000
8371249665055979563,7,soft,4.738702,0.022969,-0.005353,0.022969,-0.005353
8371249665055979563,7,1.0000,4.738702,0.022969,-0.005353,0.000249,-0.000093
8371249665055979563,7,hard,4.738702,0.022969,-0.005353,0.000000,0.000000
10584648148176565310,7,soft,5.045895,0.026322,-0.006098,0.026322,-0.006098
10584648148176565310,7,1.0000,5.045895,0.026322,-0.006098,0.000271,-0.000086
10584648148176565310,7,hard,5.045895,0.026322,-0.006098,0.000000,0.000000
15453308257587330068,8,soft,5.748792,0.034237,-0.007681,0.034237,-0.007681
15453308257587330068,8,1.0000,5.748792,0.034237,-0.007681,0.000285,-0.000090
15453308257587330068,8,hard,5.748792,0.034237,-0.007681,0.000000,0.000000
8371249665055979563,8,soft,6.029479,0.037184,-0.012392,0.037184,-0.012392
8371249665055979563,8,1.0000,6.029479,0.037184,-0.012392,0.000312,-0.000107
8371249665055979563,8,hard,6.029479,0.037184,-0.012392,0.000000,0.000000
10584648148176565310,8,soft,5.057892,0.026469,-0.007317,0.026469,-0.007317
10584648148176565310,8,1.0000,5.057892,0.026469,-0.007317,0.000273,-0.000094
10584648148176565310,8,hard,5.057892,0.026469,-0.007317,0.000000,0.000000
