seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
15453308257587330068,1,60,0.035000,soft,direct-terminal,0.000000,true
15453308257587330068,1,60,0.035000,1.0000,direct-terminal,0.000000,true
15453308257587330068,1,60,0.035000,hard,direct-terminal,0.000000,true
8371249665055979563,1,60,0.035000,soft,direct-terminal,0.000000,true
8371249665055979563,1,60,0.035000,1.0000,direct-terminal,0.000000,true
8371249665055979563,1,60,0.035000,hard,direct-terminal,0.000000,true
10584648148176565310,1,60,0.035000,soft,direct-terminal,0.000000,true
10584648148176565310,1,60,0.035000,1.0000,direct-terminal,0.000000,true
10584648148176565310,1,60,0.035000,hard,direct-terminal,0.000000,true
15453308257587330068,1,240,0.035000,soft,direct-terminal,0.887500,true
15453308257587330068,1,240,0.035000,1.0000,direct-terminal,0.887500,true
15453308257587330068,1,240,0.035000,hard,direct-terminal,0.887500,true
8371249665055979563,1,240,0.035000,soft,direct-terminal,1.000000,true
8371249665055979563,1,240,0.035000,1.0000,direct-terminal,1.000000,true
8371249665055979563,1,240,0.035000,hard,direct-terminal,1.000000,true
10584648148176565310,1,240,0.035000,soft,direct-terminal,0.725000,true
10584648148176565310,1,240,0.035000,1.0000,direct-terminal,0.725000,true
10584648148176565310,1,240,0.035000,hard,direct-terminal,0.725000,true
15453308257587330068,2,60,0.035000,soft,direct-terminal,0.100000,true
15453308257587330068,2,60,0.035000,1.0000,direct-terminal,0.100000,true
15453308257587330068,2,60,0.035000,hard,direct-terminal,0.100000,true
8371249665055979563,2,60,0.035000,soft,direct-terminal,0.156250,true
8371249665055979563,2,60,0.035000,1.0000,direct-terminal,0.156250,true
8371249665055979563,2,60,0.035000,hard,direct-terminal,0.156250,true
10584648148176565310,2,60,0.035000,soft,direct-terminal,0.118750,true
10584648148176565310,2,60,0.035000,1.0000,direct-terminal,0.118750,true
10584648148176565310,2,60,0.035000,hard,direct-terminal,0.118750,true
15453308257587330068,2,240,0.035000,soft,direct-terminal,1.000000,true
15453308257587330068,2,240,0.035000,1.0000,direct-terminal,1.000000,true
15453308257587330068,2,240,0.035000,hard,direct-terminal,0.100000,true
8371249665055979563,2,240,0.035000,soft,direct-terminal,1.000000,true
8371249665055979563,2,240,0.035000,1.0000,direct-terminal,1.000000,true
8371249665055979563,2,240,0.035000,hard,direct-terminal,0.156250,true
10584648148176565310,2,240,0.035000,soft,direct-terminal,1.000000,true
10584648148176565310,2,240,0.035000,1.0000,direct-terminal,0.931250,true
10584648148176565310,2,240,0.035000,hard,direct-terminal,0.118750,true
15453308257587330068,3,60,0.035000,soft,direct-terminal,0.481250,true
15453308257587330068,3,60,0.035000,1.0000,direct-terminal,0.431250,true
15453308257587330068,3,60,0.035000,hard,direct-terminal,0.337500,true
8371249665055979563,3,60,0.035000,soft,direct-terminal,0.343750,true
8371249665055979563,3,60,0.035000,1.0000,direct-terminal,0.331250,true
8371249665055979563,3,60,0.035000,hard,direct-terminal,0.343750,true
10584648148176565310,3,60,0.035000,soft,direct-terminal,0.400000,true
10584648148176565310,3,60,0.035000,1.0000,direct-terminal,0.406250,true
10584648148176565310,3,60,0.035000,hard,direct-terminal,0.368750,true
15453308257587330068,3,240,0.035000,soft,direct-terminal,0.637500,true
15453308257587330068,3,240,0.035000,1.0000,direct-terminal,0.387500,true
15453308257587330068,3,240,0.035000,hard,direct-terminal,0.337500,true
8371249665055979563,3,240,0.035000,soft,direct-terminal,0.725000,true
8371249665055979563,3,240,0.035000,1.0000,direct-terminal,0.468750,true
8371249665055979563,3,240,0.035000,hard,direct-terminal,0.343750,true
10584648148176565310,3,240,0.035000,soft,direct-terminal,0.643750,true
10584648148176565310,3,240,0.035000,1.0000,direct-terminal,0.443750,true
10584648148176565310,3,240,0.035000,hard,direct-terminal,0.412500,true
15453308257587330068,4,60,0.035000,soft,direct-terminal,0.331250,true
15453308257587330068,4,60,0.035000,1.0000,direct-terminal,0.256250,true
15453308257587330068,4,60,0.035000,hard,direct-terminal,0.331250,true
8371249665055979563,4,60,0.035000,soft,direct-terminal,0.362500,true
8371249665055979563,4,60,0.035000,1.0000,direct-terminal,0.287500,true
8371249665055979563,4,60,0.035000,hard,direct-terminal,0.243750,true
10584648148176565310,4,60,0.035000,soft,direct-terminal,0.275000,true
10584648148176565310,4,60,0.035000,1.0000,direct-terminal,0.256250,true
10584648148176565310,4,60,0.035000,hard,direct-terminal,0.268750,true
15453308257587330068,4,240,0.035000,soft,direct-terminal,0.406250,true
15453308257587330068,4,240,0.035000,1.0000,direct-terminal,0.350000,true
15453308257587330068,4,240,0.035000,hard,direct-terminal,0.331250,true
8371249665055979563,4,240,0.035000,soft,direct-terminal,0.437500,true
8371249665055979563,4,240,0.035000,1.0000,direct-terminal,0.231250,true
8371249665055979563,4,240,0.035000,hard,direct-terminal,0.243750,true
10584648148176565310,4,240,0.035000,soft,direct-terminal,0.556250,true
10584648148176565310,4,240,0.035000,1.0000,direct-terminal,0.331250,true
10584648148176565310,4,240,0.035000,hard,direct-terminal,0.268750,true
15453308257587330068,5,60,0.035000,soft,direct-terminal,0.262500,true
15453308257587330068,5,60,0.035000,1.0000,direct-terminal,0.293750,true
15453308257587330068,5,60,0.035000,hard,direct-terminal,0.137500,true
8371249665055979563,5,60,0.035000,soft,direct-terminal,0.225000,true
8371249665055979563,5,60,0.035000,1.0000,direct-terminal,0.243750,true
8371249665055979563,5,60,0.035000,hard,direct-terminal,0.131250,true
10584648148176565310,5,60,0.035000,soft,direct-terminal,0.337500,true
10584648148176565310,5,60,0.035000,1.0000,direct-terminal,0.275000,true
10584648148176565310,5,60,0.035000,hard,direct-terminal,0.143750,true
15453308257587330068,5,240,0.035000,soft,direct-terminal,0.212500,true
15453308257587330068,5,240,0.035000,1.0000,direct-terminal,0.268750,true
15453308257587330068,5,240,0.035000,hard,direct-terminal,0.137500,true
8371249665055979563,5,240,0.035000,soft,direct-terminal,0.237500,true
8371249665055979563,5,240,0.035000,1.0000,direct-terminal,0.237500,true
8371249665055979563,5,240,0.035000,hard,direct-terminal,0.131250,true
10584648148176565310,5,240,0.035000,soft,direct-terminal,0.281250,true
10584648148176565310,5,240,0.035000,1.0000,direct-terminal,0.262500,true
10584648148176565310,5,240,0.035000,hard,direct-terminal,0.143750,true
15453308257587330068,6,60,0.035000,soft,direct-terminal,0.212500,true
15453308257587330068,6,60,0.035000,1.0000,direct-terminal,0.262500,true
15453308257587330068,6,60,0.035000,hard,direct-terminal,0.225000,true
8371249665055979563,6,60,0.035000,soft,direct-terminal,0.362500,true
8371249665055979563,6,60,0.035000,1.0000,direct-terminal,0.231250,true
8371249665055979563,6,60,0.035000,hard,direct-terminal,0.318750,true
10584648148176565310,6,60,0.035000,soft,direct-terminal,0.293750,true
10584648148176565310,6,60,0.035000,1.0000,direct-terminal,0.268750,true
10584648148176565310,6,60,0.035000,hard,direct-terminal,0.350000,true
15453308257587330068,6,240,0.035000,soft,direct-terminal,0.275000,true
15453308257587330068,6,240,0.035000,1.0000,direct-terminal,0.237500,true
15453308257587330068,6,240,0.035000,hard,direct-terminal,0.225000,true
8371249665055979563,6,240,0.035000,soft,direct-terminal,0.256250,true
