seed,depth,budget,learning_rate,temperature,arm,accuracy,test_weights_unchanged
15453308257587330068,1,480,0.015000,soft,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,2.0000,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,1.0000,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,0.5000,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,0.2500,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,0.1000,direct-terminal,0.766000,true
15453308257587330068,1,480,0.015000,hard,direct-terminal,0.766000,true
8371249665055979563,1,480,0.015000,soft,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,2.0000,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,1.0000,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,0.5000,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,0.2500,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,0.1000,direct-terminal,0.738000,true
8371249665055979563,1,480,0.015000,hard,direct-terminal,0.738000,true
10584648148176565310,1,480,0.015000,soft,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,2.0000,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,1.0000,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,0.5000,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,0.2500,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,0.1000,direct-terminal,0.501000,true
10584648148176565310,1,480,0.015000,hard,direct-terminal,0.501000,true
3503715438342828117,1,480,0.015000,soft,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,2.0000,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,1.0000,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,0.5000,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,0.2500,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,0.1000,direct-terminal,0.749000,true
3503715438342828117,1,480,0.015000,hard,direct-terminal,0.749000,true
6870017868308966504,1,480,0.015000,soft,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,2.0000,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,1.0000,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,0.5000,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,0.2500,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,0.1000,direct-terminal,0.620000,true
6870017868308966504,1,480,0.015000,hard,direct-terminal,0.620000,true
18234668199544023167,1,480,0.015000,soft,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,2.0000,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,1.0000,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,0.5000,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,0.2500,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,0.1000,direct-terminal,0.599000,true
18234668199544023167,1,480,0.015000,hard,direct-terminal,0.599000,true
2001287458986747026,1,480,0.015000,soft,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,2.0000,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,1.0000,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,0.5000,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,0.2500,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,0.1000,direct-terminal,0.393000,true
2001287458986747026,1,480,0.015000,hard,direct-terminal,0.393000,true
13400911004452511913,1,480,0.015000,soft,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,2.0000,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,1.0000,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,0.5000,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,0.2500,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,0.1000,direct-terminal,0.500000,true
13400911004452511913,1,480,0.015000,hard,direct-terminal,0.500000,true
14389304000666033340,1,480,0.015000,soft,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,2.0000,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,1.0000,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,0.5000,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,0.2500,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,0.1000,direct-terminal,0.644000,true
14389304000666033340,1,480,0.015000,hard,direct-terminal,0.644000,true
7379312348008863955,1,480,0.015000,soft,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,2.0000,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,1.0000,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,0.5000,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,0.2500,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,0.1000,direct-terminal,0.639000,true
7379312348008863955,1,480,0.015000,hard,direct-terminal,0.639000,true
9520731371184805094,1,480,0.015000,soft,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,2.0000,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,1.0000,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,0.5000,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,0.2500,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,0.1000,direct-terminal,0.613000,true
9520731371184805094,1,480,0.015000,hard,direct-terminal,0.613000,true
2511848558889390333,1,480,0.015000,soft,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,2.0000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,1.0000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.5000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.2500,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,0.1000,direct-terminal,0.748000,true
2511848558889390333,1,480,0.015000,hard,direct-terminal,0.748000,true
4653197178990775568,1,480,0.015000,soft,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,2.0000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,1.0000,direct-terminal,0.626000,true
4653197178990775568,1,480,0.015000,0.5000,direct-terminal,0.626000,true
